stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1714575090.088041782, -0.499, -0.867, -0.004, -126.840, 0.837, -0.481, -0.262, 37.295, 0.226, -0.134, 0.965, 13.615
1714575091.087961197, -0.516, -0.855, 0.046, -126.599, 0.823, -0.510, -0.249, 37.262, 0.237, -0.091, 0.967, 13.554
1714575092.087880611, -0.527, -0.849, 0.034, -126.602, 0.819, -0.519, -0.245, 37.263, 0.225, -0.102, 0.969, 13.555
1714575092.587840319, -0.533, -0.844, 0.061, -126.596, 0.809, -0.529, -0.257, 37.260, 0.249, -0.087, 0.965, 13.554
1714575094.087719679, -0.574, -0.806, 0.142, -126.780, 0.783, -0.592, -0.191, 37.037, 0.238, 0.002, 0.971, 13.589
1714575095.087639093, -0.618, -0.765, 0.181, -127.297, 0.753, -0.642, -0.143, 37.139, 0.226, 0.048, 0.973, 13.732
1714575096.087558508, -0.633, -0.740, 0.227, -127.584, 0.738, -0.666, -0.109, 37.451, 0.232, 0.099, 0.968, 13.815
1714575097.187469959, -0.631, -0.736, 0.246, -127.580, 0.736, -0.668, -0.110, 37.450, 0.245, 0.111, 0.963, 13.814
1714575098.187389374, -0.676, -0.686, 0.269, -127.703, 0.707, -0.707, -0.028, 37.330, 0.210, 0.171, 0.963, 13.882
1714575099.287300825, -0.655, -0.679, 0.331, -128.143, 0.718, -0.696, -0.006, 37.568, 0.234, 0.234, 0.944, 14.002
1714575100.287220240, -0.634, -0.706, 0.315, -128.087, 0.748, -0.663, 0.019, 37.551, 0.196, 0.248, 0.949, 14.030
1714575101.187147856, -0.679, -0.689, 0.253, -128.428, 0.714, -0.700, 0.010, 37.442, 0.170, 0.188, 0.967, 14.106
1714575102.187067270, -0.744, -0.617, 0.255, -128.109, 0.644, -0.765, 0.026, 37.657, 0.179, 0.184, 0.967, 14.083
1714575103.086994648, -0.756, -0.591, 0.281, -128.103, 0.626, -0.778, 0.049, 37.661, 0.190, 0.213, 0.959, 14.081
1714575104.086914301, -0.776, -0.576, 0.255, -127.899, 0.606, -0.794, 0.048, 37.297, 0.175, 0.192, 0.966, 14.003
1714575105.086833715, -0.727, -0.632, 0.270, -128.059, 0.666, -0.745, 0.049, 37.513, 0.170, 0.215, 0.962, 14.027
1714575106.086753130, -0.765, -0.578, 0.284, -128.144, 0.613, -0.789, 0.047, 37.537, 0.196, 0.210, 0.958, 14.046
1714575106.686704874, -0.765, -0.576, 0.288, -128.143, 0.614, -0.787, 0.057, 37.539, 0.194, 0.220, 0.956, 14.046
1714575108.186583996, -0.789, -0.553, 0.267, -128.404, 0.586, -0.808, 0.061, 37.743, 0.182, 0.205, 0.962, 14.107
1714575109.086511612, -0.784, -0.568, 0.251, -128.408, 0.596, -0.801, 0.048, 37.740, 0.174, 0.187, 0.967, 14.108
1714575110.086430788, -0.744, -0.572, 0.344, -128.079, 0.627, -0.776, 0.067, 37.525, 0.228, 0.266, 0.937, 14.034
1714575111.086350441, -0.738, -0.599, 0.310, -128.087, 0.646, -0.760, 0.071, 37.526, 0.193, 0.253, 0.948, 14.036
1714575112.086269855, -0.393, -0.856, 0.336, -128.074, 0.911, -0.413, 0.013, 37.519, 0.128, 0.311, 0.942, 14.034
1714575113.086189270, -0.156, -0.965, 0.209, -127.756, 0.982, -0.175, -0.073, 37.484, 0.107, 0.194, 0.975, 14.084
1714575114.086108685, -0.179, -0.971, 0.160, -127.768, 0.982, -0.185, -0.025, 37.495, 0.054, 0.152, 0.987, 14.085
1714575115.086028099, -0.217, -0.957, 0.193, -127.788, 0.974, -0.224, -0.019, 37.274, 0.062, 0.184, 0.981, 14.082
1714575116.085947752, -0.141, -0.973, 0.182, -127.671, 0.989, -0.145, -0.011, 37.513, 0.037, 0.178, 0.983, 14.071
1714575117.085867167, -0.154, -0.970, 0.187, -127.670, 0.988, -0.149, 0.040, 37.525, -0.011, 0.191, 0.982, 14.070
1714575117.985794783, -0.163, -0.974, 0.160, -127.910, 0.983, -0.174, -0.061, 37.642, 0.087, 0.147, 0.985, 14.052
1714575118.985714197, -0.287, -0.947, 0.148, -127.576, 0.947, -0.304, -0.107, 37.650, 0.146, 0.109, 0.983, 13.902
1714575120.085625648, -0.275, -0.948, 0.162, -127.559, 0.949, -0.294, -0.112, 37.579, 0.153, 0.123, 0.981, 13.906
1714575121.185536861, -0.320, -0.938, 0.132, -127.397, 0.929, -0.339, -0.151, 37.431, 0.186, 0.075, 0.980, 13.886
1714575122.085464478, -0.369, -0.925, 0.096, -127.100, 0.918, -0.379, -0.118, 36.878, 0.145, 0.045, 0.988, 13.884
1714575123.085383892, -0.347, -0.926, 0.148, -127.346, 0.934, -0.356, -0.035, 36.453, 0.085, 0.126, 0.988, 13.917
1714575123.985311508, -0.343, -0.920, 0.189, -127.469, 0.929, -0.362, -0.077, 36.280, 0.140, 0.149, 0.979, 13.975
1714575125.185214758, -0.314, -0.919, 0.240, -127.559, 0.947, -0.322, 0.004, 36.468, 0.074, 0.228, 0.971, 13.992
1714575126.185134172, -0.446, -0.875, 0.187, -127.600, 0.891, -0.455, -0.005, 36.806, 0.090, 0.164, 0.982, 14.041
1714575127.285045624, -0.448, -0.874, 0.189, -127.641, 0.887, -0.461, -0.035, 36.971, 0.117, 0.152, 0.981, 13.989
1714575128.284965038, -0.447, -0.875, 0.184, -127.660, 0.883, -0.465, -0.063, 37.139, 0.140, 0.135, 0.981, 13.957
1714575129.084900618, -0.468, -0.870, 0.156, -127.666, 0.880, -0.474, -0.004, 37.152, 0.078, 0.135, 0.988, 13.957
1714575130.084820032, -0.402, -0.900, 0.169, -127.732, 0.911, -0.412, -0.030, 37.243, 0.097, 0.142, 0.985, 13.941
1714575131.184731483, -0.400, -0.903, 0.157, -127.649, 0.911, -0.410, -0.036, 37.415, 0.097, 0.128, 0.987, 13.939
1714575132.184650898, -0.360, -0.920, 0.151, -127.696, 0.929, -0.369, -0.035, 37.597, 0.088, 0.128, 0.988, 13.949
1714575133.184570551, -0.356, -0.925, 0.132, -127.701, 0.932, -0.362, -0.027, 37.599, 0.072, 0.113, 0.991, 13.949
1714575134.184489965, -0.303, -0.943, 0.136, -127.533, 0.944, -0.316, -0.093, 37.547, 0.131, 0.100, 0.986, 13.936
1714575135.184409380, -0.299, -0.952, 0.063, -127.543, 0.945, -0.304, -0.118, 37.144, 0.131, 0.024, 0.991, 13.840
1714575136.184328794, -0.300, -0.953, 0.037, -127.482, 0.934, -0.301, -0.192, 36.947, 0.194, -0.023, 0.981, 13.834
