stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1727351235.396780252, 0.996, 0.061, 0.060, -78.566, -0.074, 0.963, 0.259, -58.555, -0.042, -0.263, 0.964, -6.608
1727351268.498876810, 0.907, -0.414, 0.074, -77.808, 0.420, 0.891, -0.174, -57.431, 0.006, 0.189, 0.982, -6.657
1727351269.198845148, 0.925, -0.380, 0.005, -77.746, 0.374, 0.907, -0.192, -57.222, 0.069, 0.179, 0.981, -6.621
1727351270.297194004, 0.929, -0.366, 0.061, -77.602, 0.371, 0.913, -0.170, -57.024, 0.007, 0.180, 0.984, -6.606
1727351271.298634052, 0.880, -0.472, 0.057, -77.539, 0.475, 0.868, -0.144, -56.891, 0.018, 0.154, 0.988, -6.594
1727351272.300164461, 0.998, -0.013, 0.063, -77.576, 0.022, 0.988, -0.151, -56.953, -0.061, 0.152, 0.987, -6.604
1727351273.299103260, 0.896, 0.437, 0.081, -77.669, -0.423, 0.894, -0.147, -56.972, -0.137, 0.097, 0.986, -6.603
1727351274.298529387, 0.791, 0.609, 0.059, -77.845, -0.592, 0.787, -0.175, -57.020, -0.153, 0.104, 0.983, -6.588
1727351275.298720121, 0.765, 0.631, 0.124, -78.119, -0.605, 0.772, -0.194, -57.072, -0.218, 0.073, 0.973, -6.562
1727351276.299503803, 0.752, 0.630, 0.193, -78.308, -0.615, 0.776, -0.140, -57.090, -0.238, -0.014, 0.971, -6.544
1727351277.299308062, 0.744, 0.634, 0.212, -78.552, -0.615, 0.773, -0.156, -57.134, -0.263, -0.014, 0.965, -6.505
1727351278.298560381, 0.721, 0.666, 0.189, -78.893, -0.650, 0.745, -0.147, -57.167, -0.239, -0.017, 0.971, -6.452
1727351279.299258709, 0.691, 0.693, 0.206, -79.153, -0.674, 0.720, -0.162, -57.190, -0.261, -0.027, 0.965, -6.384
1727351280.296397924, 0.542, 0.801, 0.256, -79.309, -0.789, 0.589, -0.171, -57.178, -0.288, -0.109, 0.951, -6.368
1727351281.298940182, 0.505, 0.820, 0.268, -79.309, -0.818, 0.554, -0.153, -57.159, -0.275, -0.142, 0.951, -6.365
1727351282.296665192, 0.290, 0.929, 0.230, -79.311, -0.927, 0.332, -0.175, -57.143, -0.239, -0.163, 0.957, -6.371
1727351283.297753096, 0.478, 0.850, 0.221, -79.494, -0.839, 0.517, -0.172, -57.099, -0.260, -0.103, 0.960, -6.316
1727351284.299442053, 0.501, 0.825, 0.262, -79.918, -0.813, 0.552, -0.183, -57.093, -0.296, -0.122, 0.948, -6.198
